"adminCode"	"adminLevel"	"date"	"evi_0"	"evi_30"	"evi_60"	"evi_90"	"evi_120"	"evi_150"	"evi_180"	"temperature_0"	"temperature_30"	"temperature_60"	"temperature_90"	"temperature_120"	"temperature_150"	"temperature_180"	"precip_0"	"precip_30"	"precip_60"	"precip_90"	"precip_120"	"precip_150"	"precip_180"	"spi1_0"	"spi1_30"	"spi1_60"	"spi1_90"	"spi1_120"	"spi1_150"	"spi1_180"	"spi3_0"	"spi3_30"	"spi3_60"	"spi3_90"	"spi3_120"	"spi3_150"	"spi3_180"	"spi6_0"	"spi6_30"	"spi6_60"	"spi6_90"	"spi6_120"	"spi6_150"	"spi6_180"	"variable"	"cases"	"windowLength"	"epiWeek"	"year"	"population"	"logpop"	"evi_0avg"	"temperature_0avg"	"precip_0avg"	"polyid"	"adminName"	"region"	"geozone"	"precip"	"spi"	"y"	"polyid2"	"region2"	"yt"	"ys"
"NG005"	"admin1"	2012-01-02	0.236024853207042	0.306860768473823	0.371064271071611	0.391014053477289	0.34161132676097	0.251440763482067	0.191882318100474	33.6435123375333	34.3209743705926	31.8696571731305	30.2212984005	30.29417707375	31.59134953245	35.8660015244444	0.00196363833334683	0.527229273333347	2.87154736166668	6.85402611333335	8.01240178000001	5.83157292666667	3.59774787333334	-1.68579036485861	-0.405856775071573	0.242695335717298	0.128693475955727	-0.0368530109117343	-0.193146842397888	-0.124210584661896	0.28852488727953	0.221336358512466	0.0991379133596081	-0.0635639215076511	-0.211509276918022	-0.317451565680259	-0.356659316699863	0.0355667668198723	-0.006437613136377	-0.101199882108648	-0.237506330709998	-0.380293439473859	-0.447652252443974	-0.395915273431009	"lassa_confirmed"	0	60	1	2012	5548042.5	4.01603025583546	0.242472738377898	34.0166078379993	0.0120922934074067	5	"Bauchi"	"north"	"North East"	5.75	-0.4	0	5	1	0	0
"NG007"	"admin1"	2012-01-02	0.321269951178306	0.413201092941615	0.460710321779256	0.475212758353067	0.474444682696982	0.460251303910978	0.412201005109208	31.2478261275715	29.9595388283182	27.890637222963	27.7105979680001	27.3093757855386	27.9073424432309	29.2155813349413	0.0512682299999682	4.30971703499997	8.82544907666663	8.9247292833333	6.55593478166663	5.38756549166663	6.6014297583333	-1.35956341849429	-0.0292163988611625	0.294676603046866	0.162048962704662	-0.518718655221263	-1.01099347969272	0.317504212205027	0.681708490159482	0.70168775155173	0.203638363738558	-0.396043963041434	-0.504994214162708	-0.0544307037362836	0.800154469165621	0.0863369428812021	0.193775181084949	0.180268645496038	0.100085034625563	-0.0257250298289306	0.22958459031459	0.902433312623517	"lassa_confirmed"	0	60	1	2012	5016567	3.91533092821383	0.331702652110178	31.2454383264901	0.242208682832179	7	"Benue"	"north"	"North Central"	5.25	-0.0999999999999996	0	7	1	0	0
"NG011"	"admin1"	2012-01-02	0.337249482821958	0.40357695598057	0.414152693916261	0.432438365726911	0.462501730384927	0.457283906149178	0.428874818318866	30.8270777388333	30.8120668807778	29.651779819	28.8797991986666	28.9306957749999	29.3175734446666	28.79350961	0.293597148333338	5.407627775	9.90253948666667	10.0888123416667	10.1874981583333	9.22569884333333	8.79745274	-1.22479826712292	-0.0301030103469063	0.166817063114229	0.489163717266705	0.181187107242157	-0.535279152618739	0.145705687581765	0.269233655046687	0.613190572246131	0.710747057608404	0.411742238997419	0.0399079678155208	-0.022598470954961	0.37209782992534	0.389321515978509	0.426190239652431	0.477944431765419	0.483417616036086	0.28299571053497	0.283173871671515	0.66392900867603	"lassa_confirmed"	4	60	1	2012	2604509	3.25982926674887	0.351676912449048	30.4923790070948	0.639881975119067	11	"Ebonyi"	"south"	"South East"	9	0.2	4	11	2	10	6
"NG012"	"admin1"	2012-01-02	0.421139029183527	0.509257882663251	0.561932717152918	0.588621544162111	0.581077502840067	0.552156663100556	0.531144264362404	29.73938049625	28.9074635342941	27.5915398258824	27.5147346545715	27.8319526352001	27.4592881157778	27.8846781153334	0.324078608691361	3.93997383780976	8.68267759833329	6.97382562333329	7.31560625499996	10.180567475	9.20663204166663	-0.93618550270256	-0.354118644895739	-0.133340818269834	-0.174758118842014	0.260169062016081	0.45844261015736	0.618340516621802	-0.259351287322192	-0.215742721647947	-0.0136699273625071	0.214438072083029	0.553674447216711	0.753044553663563	0.566007984787138	0.0491125853795682	0.20992105652576	0.346085951033872	0.393909839061238	0.744557571964942	1.14345867008747	1.22466799445995	"lassa_confirmed"	8	60	1	2012	3899594.75	3.66345773047419	0.427220716555332	29.5994715202778	0.752572589499248	12	"Edo"	"south"	"South South"	10	0.7	8	12	2	8	0
"NG023"	"admin1"	2012-01-02	0.34598636868807	0.426726967869	0.464757879126378	0.467289563846423	0.459990448742867	0.4504149361766	0.428312192767256	30.4153453795926	29.3850673532093	28.203352441037	28.546180309647	27.5895193413332	26.9573056180952	27.6516746057272	0.0778049416666557	2.56239946666666	5.86589707666665	6.53377299166666	6.17049608833333	6.28502344333332	6.80530123666666	-1.00160555721618	-0.25596102260883	-0.168979262198157	-0.243453681058573	-0.406030813558716	-0.512266300956975	0.336424355307778	-0.0960385619318474	-0.165958025601596	-0.333156206218518	-0.482300235824306	-0.357190398338094	0.0572411006289764	0.388467271212957	-0.477875562403764	-0.356564981055122	-0.263741459185469	-0.269510773498115	-0.260426914324698	0.0396888933504139	0.435686495029034	"lassa_confirmed"	0	60	1	2012	3740277.25	3.62174483268896	0.344088621362972	30.2703994916955	0.20824272337841	23	"Kogi"	"north"	"North Central"	6.25	-0.3	0	23	1	0	0
"NG029"	"admin1"	2012-01-02	0.428103162180792	0.500677220737637	0.52510420948286	0.508796770613445	0.497503298031252	0.503913996165	0.527272769939889	28.86871496612	28.5612331978125	26.8975030105715	26.9319127142501	27.0529170096001	26.6030337778462	27.2260965098462	0.358586216666668	3.8177722	7.83227873166667	6.24705583166667	7.386512515	10.1462427633333	8.43165782666667	-0.818067760902192	-0.303207569393331	-0.396918983160281	-0.49627249623915	0.336373529576403	0.367593300230201	0.136452636432898	-0.383561713565263	-0.469262007512231	-0.132449574516753	0.194444233671371	0.430523465681565	0.236073817689918	-0.303904010174891	-0.032400248599423	0.0363447879952219	0.0207863820265468	0.0443741931418818	0.411423482780193	0.671128924697614	0.709713271308913	"lassa_confirmed"	0	60	1	2012	4147945.5	3.72519824441291	0.43816728501781	28.8144722640066	0.883374765000004	29	"Ondo"	"south"	"South West"	10	0.4	0	29	2	0	0
"NG032"	"admin1"	2012-01-02	0.266717560667445	0.349041519339919	0.409011700585071	0.413882779555045	0.382817832623438	0.349870751739001	0.288251181030104	33.9539837877966	32.6982922163462	29.5810893938	28.57282473896	28.324067758	29.2551580901379	30.7047449385333	0.00592133000000817	1.48057660666667	4.06052677166667	8.23482110666668	8.59685550833334	5.86800464666667	4.87636996666667	-Inf	-Inf	-0.0291479859885621	0.509389451049439	0.185668431048628	-0.538731655616451	-0.271937476207684	0.212596781934028	0.529829154693767	0.611813536946074	0.41286413608937	-0.164933316579829	-0.698985733624063	-0.688189181139526	0.376196969100777	0.33407270362668	0.102131939286763	-0.0543462597505273	-0.664136484514242	-1.00841398383776	-0.811495178629435	"lassa_confirmed"	1	60	1	2012	3731470.25	3.61938741788642	0.271501531536714	33.8254091435165	0.0363341953372231	32	"Plateau"	"north"	"North Central"	5.75	-0.7	1	32	1	1	0
"NG035"	"admin1"	2012-01-02	0.328731260702445	0.411296098468379	0.459148803891601	0.458950571659712	0.449486725447064	0.438364626580578	0.389721330757671	31.0717885243051	30.24144189868	28.1008062972942	27.5349600012501	27.8012351027501	27.7002191230001	29.1962592186061	0.0447706449999943	3.49783831833333	8.07747825333333	10.428994045	9.44950274999999	7.80625105333333	7.39733258333333	-1.01403466946439	-0.312458073372648	0.0921667998209635	0.447800425941066	0.343406992323742	-0.0130202107982655	0.575502834552671	0.326714140915035	0.56459402059732	0.619254440965369	0.549322079665139	0.51416601678613	0.36571032968503	0.236246416749366	0.576465760967565	0.729564690842475	0.653608443397082	0.584235499969743	0.360868887614202	0.240018693184894	0.274441515905775	"lassa_confirmed"	0	60	1	2012	2592772.75	3.25531295591052	0.326956624919721	31.3376184960005	0.147452399125933	35	"Taraba"	"north"	"North East"	7.75	0.3	0	35	1	0	0
"NG005"	"admin1"	2012-01-09	0.224357133488861	0.288698157719578	0.358440591396426	0.391550767661356	0.359346261439563	0.2721324342639	0.202137295049733	32.8321721843	34.3750873520702	32.4979631996327	30.4710256291667	29.796497365742	30.8300869398947	35.2607926247111	0.00184035666668017	0.280214140000013	2.44334480333335	6.32345107833335	7.65087663666668	6.10974450666667	3.97173999166668	-1.62025589077768	-0.737086122448572	0.113373832505517	0.172211990620854	0.0029761483450505	-0.158433234029281	-0.15087844562435	0.0958494668541867	0.251925426856546	0.128476318729749	-0.0242415140459448	-0.176808457537218	-0.294326321844335	-0.350009473366662	0.0574534905689388	0.00261687111408492	-0.0768574173687559	-0.20442772963049	-0.346085804518977	-0.435557467136666	-0.413103790645036	"lassa_confirmed"	0	60	2	2012	5548042.5	4.01603025583546	0.231026307715349	33.5746345175298	0.00618962333272668	5	"Bauchi"	"north"	"North East"	6	-0.4	0	5	1	0	0
"NG007"	"admin1"	2012-01-09	0.298735651683	0.393620387165944	0.455064581953574	0.473785945035467	0.475272459650182	0.465150607497182	0.428125598013811	31.2780895186429	30.2601894577255	28.0971690480646	27.7799711658667	27.4152767310001	27.3758034943078	28.0487747620001	0.0416907166666349	3.08981283499997	8.2065871083333	9.30119449999997	6.8804906183333	5.31549731999997	6.04956864999997	-1.27136421918427	-0.376300517580649	0.256350800389016	0.194824689817476	-0.327010788207134	-0.928542477502329	-0.075998109923702	0.435153731671085	0.712947250151502	0.337890515482032	-0.256706310962642	-0.495466039137273	-0.190969040208859	0.586803019567691	0.164991507134349	0.160280289274272	0.188865207008379	0.119254990597776	0.00715086647503635	0.145408078671191	0.729345841386369	"lassa_confirmed"	0	60	2	2012	5016567	3.91533092821383	0.314185297126364	31.4086033061185	0.153794104260751	7	"Benue"	"north"	"North Central"	5.25	0	0	7	1	0	0
