adminCode	adminLevel	date	evi_0	evi_30	evi_60	evi_90	evi_120	evi_150	evi_180	temperature_0	temperature_30	temperature_60	temperature_90	temperature_120	temperature_150	temperature_180	precip_0	precip_30	precip_60	precip_90	precip_120	precip_150	precip_180	spi1_0	spi1_30	spi1_60	spi1_90	spi1_120	spi1_150	spi1_180	spi3_0	spi3_30	spi3_60	spi3_90	spi3_120	spi3_150	spi3_180	spi6_0	spi6_30	spi6_60	spi6_90	spi6_120	spi6_150	spi6_180	variable	cases	windowLength	epiWeek	year	population	logpop	evi_0avg	temperature_0avg	precip_0avg	polyid	adminName	region	precip	spi	y	polyid2	region2
NG005	admin1	2016-01-04	0.25039231555008745	0.3227687468115817	0.3772885572668889	0.3848994977350368	0.34262578589795545	0.25848170111343705	0.18961560098260724	31.324619686964322	34.749447841076964	32.47782580577277	29.503028013878815	30.414281386466694	33.484342682378404	37.51372056562502	0.008835905000031776	0.25014838000003176	2.876239866666699	7.529371463333363	9.281937178333353	6.0732821200000195	3.0425170633333503	0.8434254731625415	-0.09285425687898856	0.03194163404326447	0.9821328708927687	0.9783881616866704	-0.276035159871709	-1.1970337653912333	-0.08074643815747407	0.6608947893236256	1.2118222643662382	1.1554212996367157	0.09959777214553456	-1.4346907847311374	-2.070333514518457	1.0124763553410503	0.6678283520084378	0.4187041820923977	0.23543524575739297	-0.5244655139963138	-1.6280338193174742	-2.0376289408386543	lassa_confirmed	1	60	1	2016	6178725.5	4.1236971134218985	0.2429681062442936	34.149778154132726	0.01190428082533969	5	Bauchi	south	6	-0.5999999999999996	1	5	2
NG007	admin1	2016-01-04	0.3505389101516089	0.4165096813316736	0.4482170679883106	0.46123920143858477	0.453114877435666	0.4235692732763512	0.36388271267363653	30.8537254597736	30.198062273027045	28.48883528527275	28.407277821333377	28.454993870428602	28.021827027466696	29.27961704922225	0.12908598333329688	2.9245586033332973	6.863060554999966	8.9068914233333	8.545234231666633	5.450673209999969	4.368745373333305	0.28669243396718097	0.04805148009142188	-0.6746172244650509	-0.298315652040509	0.930537067681114	-0.7519550272251839	-2.1189915494613953	-0.4388360853389861	-0.4411394607753126	0.23545348678301883	0.3724809627872651	-0.461856131050235	-1.9335142127464233	-2.4658790430019177	8.468840177338601e-4	-0.5022061476728675	-0.7982774703570943	-0.8769503691989186	-1.1751636945005848	-2.237547360422874	-2.404946503821123	lassa_confirmed	0	60	1	2016	5530709	4.012901110075038	0.32985916069139076	31.38037803493174	0.22793822186558707	7	Benue	south	5.25	-1.2	0	7	2
NG011	admin1	2016-01-04	0.35608136819376923	0.42243878692128106	0.4503594325366661	0.4445026109826475	0.42457599318106604	0.4178823959416252	0.41450236938336205	30.80921823788569	30.7870313022499	29.802392947998296	28.429999999998294	28.429999999998294	29.872063977998295	26.928638447599678	0.31064774666667744	3.927887055000011	7.584704776666677	9.46517187166668	10.432757816666676	7.43570074000001	6.154321215000009	-0.4488256860859276	-0.46280699581324836	-0.8527560804444155	-0.635974397999134	0.3429375600326571	-0.8596724848282603	-1.8197320839316242	-0.8072567868176876	-0.8048024420003043	-0.29338744226395586	-0.20278043219770056	-0.7393837921451997	-1.7503727136074256	-2.1472081301587154	-0.5188562582181449	-0.8658748871197587	-1.0846125216461924	-1.1894065034196148	-1.2928054141582215	-1.8694384887565365	-1.8787995593957432	lassa_confirmed	0	60	1	2016	2855202.75	3.3517279493423406	0.3492772295458313	30.60508170377579	0.607507053222241	11	Ebonyi	south	7.25	-1.2999999999999998	0	11	2
NG012	admin1	2016-01-04	0.41409613017636887	0.4724962810454769	0.5157344527555102	0.5466393613469472	0.5636267107151994	0.5473910382011286	0.5200580063680436	29.330938180448968	29.11833766526664	28.649062887466616	28.02511755449988	27.545049158249874	28.127746412499906	28.10823122815376	0.2968243049999467	3.2454527449999464	8.290357796666616	9.076283046666614	6.45568568333328	4.399327091666612	5.456399804999946	-0.6879682865004877	-0.3471358547594337	-0.1164376743974322	-0.11759052775077813	-0.4768437475095195	-1.8429174859217734	-2.2597766181853483	-0.2585537873956492	-0.15781091021798294	-0.2982080663745363	-0.9210284949350618	-1.9546655217703979	-2.803808627739129	-2.266738367828222	-0.8701934516748986	-1.2754606998853186	-1.600919204406693	-1.7755614180971864	-1.954997670255562	-2.179600591242192	-1.6221599373746498	lassa_confirmed	5	60	1	2016	4277911	3.756049899323779	0.4247369121322536	29.667933592231403	0.7558095099770715	12	Edo	north	4.25	-2	5	12	1
NG023	admin1	2016-01-04	0.3486377368398947	0.40078362155036756	0.4452438373897342	0.48059308612750856	0.49461278873329023	0.48151314688201613	0.4388343032524014	29.53875391111117	29.21665254261912	28.249759929703814	27.922035300000186	27.876767673111264	27.716585061920114	28.45572869638473	0.09074007833332129	2.075858646666654	5.25526122833332	8.569670976666654	8.444346039999987	4.87587263666665	4.622773941666651	-0.17339856059695696	-0.0339166763330211	-0.7449199492204727	-0.34412233336420084	0.4702070921432337	-1.3073059167368255	-1.8354382487523724	-0.5418893400380828	-0.33310930244250725	0.38447832785442454	0.37959563607822594	-0.5041870055659415	-2.0609261557972096	-2.2629553332953396	0.060181134518648774	-0.2859165112174198	-0.5192868105583145	-0.5146837968085476	-0.9957842017429466	-2.143753732058239	-2.0527039312998308	lassa_confirmed	0	60	1	2016	4097842.75	3.713045769697746	0.3424078664037175	30.35798716579131	0.20574214281984826	23	Kogi	north	4.75	-1	0	23	1
NG029	admin1	2016-01-04	0.42140104001646056	0.4708515105914261	0.4817964341652222	0.4815097958221889	0.546431134232978	0.5775238313886634	0.5371449809770079	28.968078796608726	28.64585350151731	28.538932692200127	27.95231686666695	26.53785568955565	27.50479039333342	28.16599420753856	0.2833976683333413	3.1239915916666745	8.119775286666675	9.088494285000007	5.94166590500001	4.310148230000009	6.191606346666675	-0.6689876404139881	-0.30860155505928005	-0.04146189007136815	0.07440987635752486	-0.39194569825001574	-1.2828605621151399	-1.3448718211175796	-0.2317290658223093	-0.030158937245276192	-0.14522881866891355	-0.6800325433580225	-1.3971952207736633	-1.9656333586857635	-1.367402997117224	-0.6726256558566696	-0.9049110481357504	-1.1561602068748948	-1.2071908782664604	-1.2365283030955747	-1.2528016411815293	-0.7308218208053066	lassa_confirmed	1	60	1	2016	4583756.5	3.8251039514493432	0.43691656031858506	28.85331030474416	0.8793759117777806	29	Ondo	north	4.25	-1.2999999999999998	1	29	1
NG032	admin1	2016-01-04	0.28018764765584303	0.35354657092012604	0.4052795626099113	0.41986820151818866	0.39604660660593294	0.322812872523852	0.23751614674987426	32.73392555181823	32.797454964595794	30.012815133027093	28.370503130222307	28.512293799916748	29.8080274919311	32.42843283851434	0.018951728333327107	1.1720809966666603	4.38708520666666	8.098324639999992	8.73616502666667	5.826946051666671	4.207830318333337	0.9405628557378785	0.5170340657929237	-0.006421459662735292	0.5978060133371024	1.0606890014376493	-0.4359600184099114	-1.312529056966983	0.03622315873120933	0.32129050000301923	1.0367067486097241	1.022337052707519	-0.05268450643534837	-1.7787998540631842	-2.2715792548078966	0.7322613855236602	0.2560091002739196	-0.1475060587005252	-0.3763086072567645	-0.8926557338122524	-1.9154713074843779	-1.9692756870212311	lassa_confirmed	1	60	1	2016	4106788.75	3.7152264900738543	0.2709469311614412	33.96371183671137	0.03409880979633798	32	Plateau	north	5.75	-0.8999999999999999	1	32	1
NG035	admin1	2016-01-04	0.3430566074174167	0.4098317298586416	0.43765098623115634	0.45304606498173766	0.46895417733266725	0.43628686815973405	0.34970176023857835	30.36152401660717	29.90252532832003	28.021515439142892	27.442980034413836	27.11107996540745	26.846531165611143	28.716926160750027	0.058755488333336346	2.9768407250000033	7.236423636666669	9.468271856666666	9.688068435	7.289297821666668	6.030462166666668	0.44930774348514113	0.02029930379170489	-0.3469931076689675	-0.041795626882436474	0.6836641508551141	-0.4244429000069394	-1.2697945275070301	-0.17053276228586853	-0.16824040417842534	0.20782380694164643	0.21780264208969083	-0.38828856705347403	-1.7005368859892547	-2.4569142701057163	0.03059182928270254	-0.3209499934467454	-0.7441969804984943	-1.0510711361131724	-1.4803753030003557	-2.4284005816861174	-2.614014791730762	lassa_confirmed	0	60	1	2016	2847514.25	3.3490315137105395	0.3263776116394938	31.462363918861502	0.13795899673975998	35	Taraba	north	7.25	-1.5	0	35	1
NG005	admin1	2016-01-11	0.2370448559854909	0.30449296025205574	0.3682379040277112	0.38787381688032213	0.35776909634338866	0.27897097136707777	0.20140569619338874	31.311786177684247	33.90696802890913	33.20497612933337	30.02359263593943	29.687224381600036	32.97496266288892	35.86015482356523	0.006193881666698441	0.11283347166669841	1.995709315000032	6.1837601116666985	9.181536298333352	7.267765638333352	3.7763364700000173	0.7416902520250827	0.176467755598395	-0.06229397547399033	0.7302807179231199	1.050278122388477	0.08639925547066686	-1.0272361249148498	-0.12188273752784551	0.4638354267556308	1.096214119342211	1.1967486159437646	0.40753104889103686	-1.052998760046068	-1.9956262073217859	1.06319397119099	0.7543594153006333	0.47166550656251205	0.27732094130709734	-0.30538183189937557	-1.3539228377734323	-1.9983427943093488	lassa_confirmed	0	60	2	2016	6178725.5	4.1236971134218985	0.23144531882328084	33.7517187381951	0.005813981644527247	5	Bauchi	south	7.25	-0.3999999999999999	0	5	2
NG007	admin1	2016-01-11	0.33182936411317715	0.40368641586155507	0.44275998308031056	0.459856833348444	0.45703025949021797	0.4327007839705103	0.38080371982586986	31.4855253282182	30.25426850980002	28.89563369544002	28.406062781111153	28.499983824833375	28.365546335714317	28.489612141700025	0.12452003499996356	2.365389613333297	5.543424856666633	8.840738363333298	8.286504114999968	5.897017031666636	5.0567683933333045	0.2258329573157942	0.12325679898007708	-0.4812321982115981	-0.4546909627539812	0.6107383483692537	-0.12835770178684475	-1.9113085966235468	-0.33529918125900315	-0.46020023663094073	0.046149713047623345	0.37577571805401366	-0.2129192275615153	-1.547141665746128	-2.429994134172219	0.06421968095539927	-0.3762059595284774	-0.7385119095072177	-0.8686069615129139	-1.084697167261937	-1.9363492307610426	-2.455129558856349	lassa_confirmed	0	60	2	2016	5530709	4.012901110075038	0.31236167667155007	31.549796758541323	0.14627605019892043	7	Benue	south	5.75	-1.0999999999999999	0	7	2
