adminCode	adminLevel	date	evi_0	evi_30	evi_60	evi_90	evi_120	evi_150	evi_180	temperature_0	temperature_30	temperature_60	temperature_90	temperature_120	temperature_150	temperature_180	precip_0	precip_30	precip_60	precip_90	precip_120	precip_150	precip_180	spi1_0	spi1_30	spi1_60	spi1_90	spi1_120	spi1_150	spi1_180	spi3_0	spi3_30	spi3_60	spi3_90	spi3_120	spi3_150	spi3_180	spi6_0	spi6_30	spi6_60	spi6_90	spi6_120	spi6_150	spi6_180	variable	cases	windowLength	epiWeek	year	population	logpop	evi_0avg	temperature_0avg	precip_0avg	polyid	adminName	region	precip	spi	y	polyid2	region2	yt	ys
NG005	admin1	2016-01-04	0.250392315550087	0.322768746811582	0.377288557266889	0.384899497735037	0.342625785897955	0.258481701113437	0.189615600982607	31.3246196869643	34.749447841077	32.4778258057728	29.5030280138788	30.4142813864667	33.4843426823784	37.513720565625	0.00883590500003178	0.250148380000032	2.8762398666667	7.52937146333336	9.28193717833335	6.07328212000002	3.04251706333335	0.843425473162541	-0.0928542568789886	0.0319416340432645	0.982132870892769	0.97838816168667	-0.276035159871709	-1.19703376539123	-0.0807464381574741	0.660894789323626	1.21182226436624	1.15542129963672	0.0995977721455346	-1.43469078473114	-2.07033351451846	1.01247635534105	0.667828352008438	0.418704182092398	0.235435245757393	-0.524465513996314	-1.62803381931747	-2.03762894083865	lassa_confirmed	1	60	1	2016	6178725.5	4.1236971134219	0.242968106244294	34.1497781541327	0.0119042808253397	5	Bauchi	south	6	-0.6	1	5	2	8	7
NG007	admin1	2016-01-04	0.350538910151609	0.416509681331674	0.448217067988311	0.461239201438585	0.453114877435666	0.423569273276351	0.363882712673637	30.8537254597736	30.198062273027	28.4888352852727	28.4072778213334	28.4549938704286	28.0218270274667	29.2796170492222	0.129085983333297	2.9245586033333	6.86306055499997	8.9068914233333	8.54523423166663	5.45067320999997	4.3687453733333	0.286692433967181	0.0480514800914219	-0.674617224465051	-0.298315652040509	0.930537067681114	-0.751955027225184	-2.1189915494614	-0.438836085338986	-0.441139460775313	0.235453486783019	0.372480962787265	-0.461856131050235	-1.93351421274642	-2.46587904300192	0.00084688401773386	-0.502206147672868	-0.798277470357094	-0.876950369198919	-1.17516369450058	-2.23754736042287	-2.40494650382112	lassa_confirmed	0	60	1	2016	5530709	4.01290111007504	0.329859160691391	31.3803780349317	0.227938221865587	7	Benue	south	5.25	-1.2	0	7	2	0	0
NG011	admin1	2016-01-04	0.356081368193769	0.422438786921281	0.450359432536666	0.444502610982647	0.424575993181066	0.417882395941625	0.414502369383362	30.8092182378857	30.7870313022499	29.8023929479983	28.4299999999983	28.4299999999983	29.8720639779983	26.9286384475997	0.310647746666677	3.92788705500001	7.58470477666668	9.46517187166668	10.4327578166667	7.43570074000001	6.15432121500001	-0.448825686085928	-0.462806995813248	-0.852756080444416	-0.635974397999134	0.342937560032657	-0.85967248482826	-1.81973208393162	-0.807256786817688	-0.804802442000304	-0.293387442263956	-0.202780432197701	-0.7393837921452	-1.75037271360743	-2.14720813015872	-0.518856258218145	-0.865874887119759	-1.08461252164619	-1.18940650341961	-1.29280541415822	-1.86943848875654	-1.87879955939574	lassa_confirmed	0	60	1	2016	2855202.75	3.35172794934234	0.349277229545831	30.6050817037758	0.607507053222241	11	Ebonyi	south	7.25	-1.3	0	11	2	1	1
NG012	admin1	2016-01-04	0.414096130176369	0.472496281045477	0.51573445275551	0.546639361346947	0.563626710715199	0.547391038201129	0.520058006368044	29.330938180449	29.1183376652666	28.6490628874666	28.0251175544999	27.5450491582499	28.1277464124999	28.1082312281538	0.296824304999947	3.24545274499995	8.29035779666662	9.07628304666661	6.45568568333328	4.39932709166661	5.45639980499995	-0.687968286500488	-0.347135854759434	-0.116437674397432	-0.117590527750778	-0.47684374750952	-1.84291748592177	-2.25977661818535	-0.258553787395649	-0.157810910217983	-0.298208066374536	-0.921028494935062	-1.9546655217704	-2.80380862773913	-2.26673836782822	-0.870193451674899	-1.27546069988532	-1.60091920440669	-1.77556141809719	-1.95499767025556	-2.17960059124219	-1.62215993737465	lassa_confirmed	5	60	1	2016	4277911	3.75604989932378	0.424736912132254	29.6679335922314	0.755809509977072	12	Edo	north	4.25	-2	5	12	1	58	53
NG023	admin1	2016-01-04	0.348637736839895	0.400783621550368	0.445243837389734	0.480593086127509	0.49461278873329	0.481513146882016	0.438834303252401	29.5387539111112	29.2166525426191	28.2497599297038	27.9220353000002	27.8767676731113	27.7165850619201	28.4557286963847	0.0907400783333213	2.07585864666665	5.25526122833332	8.56967097666665	8.44434603999999	4.87587263666665	4.62277394166665	-0.173398560596957	-0.0339166763330211	-0.744919949220473	-0.344122333364201	0.470207092143234	-1.30730591673683	-1.83543824875237	-0.541889340038083	-0.333109302442507	0.384478327854425	0.379595636078226	-0.504187005565942	-2.06092615579721	-2.26295533329534	0.0601811345186488	-0.28591651121742	-0.519286810558314	-0.514683796808548	-0.995784201742947	-2.14375373205824	-2.05270393129983	lassa_confirmed	0	60	1	2016	4097842.75	3.71304576969775	0.342407866403718	30.3579871657913	0.205742142819848	23	Kogi	north	4.75	-1	0	23	1	0	0
NG029	admin1	2016-01-04	0.421401040016461	0.470851510591426	0.481796434165222	0.481509795822189	0.546431134232978	0.577523831388663	0.537144980977008	28.9680787966087	28.6458535015173	28.5389326922001	27.952316866667	26.5378556895556	27.5047903933334	28.1659942075386	0.283397668333341	3.12399159166667	8.11977528666668	9.08849428500001	5.94166590500001	4.31014823000001	6.19160634666668	-0.668987640413988	-0.30860155505928	-0.0414618900713681	0.0744098763575249	-0.391945698250016	-1.28286056211514	-1.34487182111758	-0.231729065822309	-0.0301589372452762	-0.145228818668914	-0.680032543358023	-1.39719522077366	-1.96563335868576	-1.36740299711722	-0.67262565585667	-0.90491104813575	-1.15616020687489	-1.20719087826646	-1.23652830309557	-1.25280164118153	-0.730821820805307	lassa_confirmed	1	60	1	2016	4583756.5	3.82510395144934	0.436916560318585	28.8533103047442	0.879375911777781	29	Ondo	north	4.25	-1.3	1	29	1	5	4
NG032	admin1	2016-01-04	0.280187647655843	0.353546570920126	0.405279562609911	0.419868201518189	0.396046606605933	0.322812872523852	0.237516146749874	32.7339255518182	32.7974549645958	30.0128151330271	28.3705031302223	28.5122937999167	29.8080274919311	32.4284328385143	0.0189517283333271	1.17208099666666	4.38708520666666	8.09832463999999	8.73616502666667	5.82694605166667	4.20783031833334	0.940562855737878	0.517034065792924	-0.00642145966273529	0.597806013337102	1.06068900143765	-0.435960018409911	-1.31252905696698	0.0362231587312093	0.321290500003019	1.03670674860972	1.02233705270752	-0.0526845064353484	-1.77879985406318	-2.2715792548079	0.73226138552366	0.25600910027392	-0.147506058700525	-0.376308607256765	-0.892655733812252	-1.91547130748438	-1.96927568702123	lassa_confirmed	1	60	1	2016	4106788.75	3.71522649007385	0.270946931161441	33.9637118367114	0.034098809796338	32	Plateau	north	5.75	-0.9	1	32	1	6	5
NG035	admin1	2016-01-04	0.343056607417417	0.409831729858642	0.437650986231156	0.453046064981738	0.468954177332667	0.436286868159734	0.349701760238578	30.3615240166072	29.90252532832	28.0215154391429	27.4429800344138	27.1110799654074	26.8465311656111	28.71692616075	0.0587554883333363	2.976840725	7.23642363666667	9.46827185666667	9.688068435	7.28929782166667	6.03046216666667	0.449307743485141	0.0202993037917049	-0.346993107668968	-0.0417956268824365	0.683664150855114	-0.424442900006939	-1.26979452750703	-0.170532762285869	-0.168240404178425	0.207823806941646	0.217802642089691	-0.388288567053474	-1.70053688598925	-2.45691427010572	0.0305918292827025	-0.320949993446745	-0.744196980498494	-1.05107113611317	-1.48037530300036	-2.42840058168612	-2.61401479173076	lassa_confirmed	0	60	1	2016	2847514.25	3.34903151371054	0.326377611639494	31.4623639188615	0.13795899673976	35	Taraba	north	7.25	-1.5	0	35	1	9	9
NG005	admin1	2016-01-11	0.237044855985491	0.304492960252056	0.368237904027711	0.387873816880322	0.357769096343389	0.278970971367078	0.201405696193389	31.3117861776842	33.9069680289091	33.2049761293334	30.0235926359394	29.6872243816	32.9749626628889	35.8601548235652	0.00619388166669844	0.112833471666698	1.99570931500003	6.1837601116667	9.18153629833335	7.26776563833335	3.77633647000002	0.741690252025083	0.176467755598395	-0.0622939754739903	0.73028071792312	1.05027812238848	0.0863992554706669	-1.02723612491485	-0.121882737527846	0.463835426755631	1.09621411934221	1.19674861594376	0.407531048891037	-1.05299876004607	-1.99562620732179	1.06319397119099	0.754359415300633	0.471665506562512	0.277320941307097	-0.305381831899376	-1.35392283777343	-1.99834279430935	lassa_confirmed	0	60	2	2016	6178725.5	4.1236971134219	0.231445318823281	33.7517187381951	0.00581398164452725	5	Bauchi	south	7.25	-0.4	0	5	2	4	4
NG007	admin1	2016-01-11	0.331829364113177	0.403686415861555	0.442759983080311	0.459856833348444	0.457030259490218	0.43270078397051	0.38080371982587	31.4855253282182	30.2542685098	28.89563369544	28.4060627811112	28.4999838248334	28.3655463357143	28.4896121417	0.124520034999964	2.3653896133333	5.54342485666663	8.8407383633333	8.28650411499997	5.89701703166664	5.0567683933333	0.225832957315794	0.123256798980077	-0.481232198211598	-0.454690962753981	0.610738348369254	-0.128357701786845	-1.91130859662355	-0.335299181259003	-0.460200236630941	0.0461497130476233	0.375775718054014	-0.212919227561515	-1.54714166574613	-2.42999413417222	0.0642196809553993	-0.376205959528477	-0.738511909507218	-0.868606961512914	-1.08469716726194	-1.93634923076104	-2.45512955885635	lassa_confirmed	0	60	2	2016	5530709	4.01290111007504	0.31236167667155	31.5497967585413	0.14627605019892	7	Benue	south	5.75	-1.1	0	7	2	0	0
